
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		100,		50	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		100,		50	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		100,		50	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		100,		50	// Sellvalue -1 means it can not be selled
		Apple,					*,		100,		50
		Pear,					*,		100,		50
		Orange,					*,		100,		50
		Banana,					*,		100,		50
		Tomato,					*,		100,		50
		Potato,					*,		100,		50
		GreenBellPepper,		*,		100,		50
		Zucchini,				*,		200,		50
		Pumpkin,				*,		600,		200
		AgaricusMushroom,		*,		200,		50
		AmanitaMushroom,		*,		200,		50
		LactariusMushroom,		*,		200,		50
		MacrolepiotaMushroom,	*,		200,		50
		PsilocybeMushroom,		*,		200,		50
		AuriculariaMushroom,	*,		200,		50
		BoletusMushroom,		*,		200,		50
		PleurotusMushroom,		*,		200,		50
	
	<Category> Packaged Food		
		BoxCerealCrunchin,		*,		450,		200
		Rice,					*,		700,		300
		Marmalade,				*,		400,		200
		PeachesCan,				*,		500,		250
		SardinesCan,			*,		400,		200
		TunaCan,				*,		400,		200
		SpaghettiCan,			*,		400,		200
		BakedBeansCan,			*,		400,		200
		TacticalBaconCan,		*,		600,		300		
		MassMRE4,				*,		2000,		400
		MassMRE9,				*,		2000,		400
		MassMRE10,				*,		2000,		400
		MassMRE9Old,			*,		2000,		400			
			
	<Category> Drinks
		SodaCan_Cola, 			*,		200, 		100
		SodaCan_Kvass, 			*,		200, 		100
		SodaCan_Pipsi, 			*,		200, 		100
		SodaCan_Spite, 			*,		200, 		100
		WaterBottle,			*,		1000,		300
		Canteen,				*,		1200,		400
		Vodka,					*,		1000,		300
		
	<Category> Medical Supplies
		//Rag,					1,		1,			-1
		BandageDressing,		2,		500,		200
		BloodTestKit,			*,		500,		200
		//InjectionVial,		*,		5, 			 2
		//Syringe,				*,		8, 			-1
		Heatpack,				*,		100,		50
		StartKitIV,				*,		500,		200
		SalineBagIV,			*,		2500,		400
		BloodBagEmpty,			*,		1800,		500
		FirstAidKit,			*,		1000,		300
		//Defibrillator,		*,		35, 	 	20
		
	<Category> Medications
		CharcoalTablets,		*,		200,		-1
		DisinfectantAlcohol,	*,		400,		-1
		VitaminBottle,			*,		600,		-1
		TetracyclineAntibiotics,*,		800,		-1
		PainkillerTablets,		*,		100,		-1
		Epinephrine,			*,		200,		-1
		Morphine,				*,		250,		-1	
		
	<Category> Money Exchange
		MoneyRuble1,			1,		1,		-1
		MoneyRuble5,			1,		5,		-1
		MoneyRuble10,			1,		10,		-1
		MoneyRuble25,			1,		25,		-1
		MoneyRuble50,			1,		50,		-1
		MoneyRuble100,			1,		100,	-1


<Trader> Misc Trader
	<Category> Tools (small)
		Screwdriver,			*,		500,		200
		Wrench,					*,		1000,		400
		SewingKit,				*,		1000, 		400
		Pliers,					*,		1200, 		500
		LeatherSewingKit,		*,		1200, 		500
		Whetstone,				*,		500,		200
		Hammer,					*,		1500,		600
		Hacksaw,				*,		-1,			10000
		HandSaw,				*,		1500,		600
		WeaponCleaningKit,		*,		1000, 		400
		KitchenKnife,			*,		500,		200
		SteakKnife,				*,		500,		200
		HuntingKnife,			*,		500,		200
		CanOpener,				*,		300,		100
		Hatchet,				*,		5000,		800
		CombatKnife,			*,		500,		200
		Machete,				*,		600,		200	
		Lockpick,				*,		-1,			5000
		Binoculars,				*,		2000,		800		
		FishingRod,				*,		1000,		400
		
	<Category> Tools (big)
		LugWrench,				*,		1200,		500
		Crowbar,				*,		5000,		800
		Shovel,					*,		1500,		600
		Pickaxe,				*,		2000,		800
		SledgeHammer,			*,		5000,		2000
		PipeWrench,				W,		1200,		500
		WoodAxe,				*,		5000,		800
		FirefighterAxe,			*,		2000,		800
		
	<Category> Electronics
		Codelock,				*,		15000,		3000
		Battery9V,				*,		500,		200
		PersonalRadio,			*,		1000,		400
		ElectronicRepairKit,	*,		-1,			10000
		CableReel,				*,		800,		300
		BatteryCharger,			*,		400,		100
		BaseRadio,				*,		500,		150
		Rangefinder,			*,		600,		200
		NVGoggles,				*,		10000,		4000
	
